Year,Athlete,Country/State,Time,Notes
1897,John J. McDermott,United States (NY),2:55:10,
1898,Ronald J. MacDonald,Canada,2:42:00,
1899,Lawrence Brignolia,United States (MA),2:54:38,
1900,"John ""Jack"" Caffery",Canada,2:39:44,
1901,"John ""Jack"" Caffery",Canada,2:29:23,2nd victory
1902,Sammy Mellor,United States (NY),2:43:12,
1903,John Lorden,United States (MA),2:41:29,
1904,Michael Spring,United States (NY),2:38:04,
1905,Frederick Lorz,United States (NY),2:38:25,
1906,Tim Ford,United States (MA),2:45:45,
1907,Thomas Longboat,Canada,2:24:24,
1908,Thomas Morrissey,United States (NY),2:25:43,
1909,Henri Renaud,United States (NH),2:53:36,
1910,Fred Cameron,Canada,2:28:52,
1911,Clarence DeMar,United States (MA),2:21:39,
1912,Michael J. Ryan,United States (NY),2:21:18,
1913,Fritz Carlson,United States (MN),2:25:14,
1914,James Duffy,Canada,2:25:14,
1915,Édouard Fabre,Canada,2:31:41,
1916,Arthur Roth,United States (MA),2:27:16,
1917,Bill Kennedy,United States (NY),2:28:37,
1918,Camp Devens relay team[3],United States (MA),2:29:53,1918 race was relay for 10-man military teams
1919,Carl Linder,United States (MA),2:29:13,
1920,Peter Trivoulides,Greece,2:29:31,Represented Greece at Olympic Games later that year
1921,Frank Zuna,United States (NY),2:18:57,
1922,Clarence DeMar,United States (MA),2:18:10,2nd victory
1923,Clarence DeMar,United States (MA),2:23:47,3rd victory
1924,Clarence DeMar,United States (MA),2:29:40,4th victory
1925,Charles Mellor,United States (IL),2:33:00,
1926,Johnny Miles,Canada,2:25:40,
1927,Clarence DeMar,United States (MA),2:40:22,5th victory
1928,Clarence DeMar,United States (MA),2:37:07,6th victory
1929,Johnny Miles,Canada,2:33:08,2nd victory
1930,Clarence DeMar,United States (MA),2:34:48,7th victory
1931,James Henigan,United States (MA),2:46:45,
1932,Paul de Bruyn,Germany,2:33:36,
1933,Leslie S. Pawson,United States (RI),2:31:01,
1934,Dave Komonen,Canada,2:32:53,
1935,John A. Kelley,United States (MA),2:32:07,
1936,Ellison Brown,United States (RI),2:33:40,
1937,Walter Young,Canada,2:33:20,
1938,Leslie S. Pawson,United States (RI),2:35:34,2nd victory
