,CMPLNT_FR_TM,RPT_DT,OFNS_DESC,BORO_NM,Lat_Lon
5101930,01:05:00,12/31/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.648265282, -73.955752145)"
5103068,00:40:00,12/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.837321839, -73.9101166)"
5107748,12:45:00,12/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.624236772, -74.080755533)"
5107854,08:14:00,12/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.832111106, -73.948294253)"
5107855,08:14:00,12/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.832111106, -73.948294253)"
5108627,12:51:00,12/25/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.646328278, -73.929804249)"
5114178,01:15:00,12/21/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.678029744, -73.963808192)"
5114269,20:24:00,12/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.83987167, -73.888139806)"
5115641,18:00:00,12/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.806617895, -73.936765755)"
5117003,15:31:00,12/18/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.65758692, -73.92905355)"
5118455,02:20:00,12/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.753874924, -73.98482044)"
5121311,18:45:00,12/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.809413199, -73.944367164)"
5121901,19:00:00,12/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.841690923, -73.837040057)"
5122650,20:45:00,12/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.820986429, -73.892228964)"
5122770,18:21:00,12/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.679066318, -73.915067287)"
5125199,20:29:00,12/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.845984791, -73.907462791)"
5125524,12:22:00,12/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.669758106, -73.802651938)"
5125897,00:20:00,12/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.703807407, -73.952858808)"
5128140,01:50:00,12/09/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.799086317, -73.947619211)"
5130465,15:02:00,12/07/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.638689107, -73.916812154)"
5133240,12:00:00,11/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.676258774, -73.884041154)"
5133479,00:15:00,12/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.689141332, -73.820854715)"
5134115,21:17:00,12/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.626986011, -73.914016783)"
5135252,20:35:00,12/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.837683801, -73.913256606)"
5139735,10:24:00,11/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.667862819, -73.905388469)"
5139932,02:00:00,11/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.69119702, -73.835460637)"
5139969,00:43:00,11/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.667533427, -73.86424849)"
5141731,23:19:00,11/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.849776217, -73.937527165)"
5142052,14:50:00,11/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.823423869, -73.901583061)"
5143102,20:30:00,11/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.790325047, -73.941710718)"
5144185,21:07:00,11/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.621066254, -74.084955452)"
5144612,12:00:00,11/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.874180976, -73.833872447)"
5146814,12:15:00,11/24/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.743417442, -73.878467752)"
5147333,23:59:00,11/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.824798921, -73.908175151)"
5147427,20:30:00,11/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.678435246, -73.927430623)"
5148736,18:25:00,11/22/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.668529332, -73.848497285)"
5151417,12:30:00,11/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.823876276, -73.891862968)"
5160601,05:30:00,11/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.759150161, -73.960843907)"
5161203,16:35:00,11/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.861894559, -73.85766248)"
5162923,09:28:00,11/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.66357893, -73.896646458)"
5167281,22:00:00,11/08/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.858948423, -73.922931729)"
5167687,13:20:00,11/07/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.753532701, -73.994536892)"
5171345,14:45:00,11/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.837129445, -73.867194698)"
5172418,21:14:00,11/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.829952373, -73.930051383)"
5174270,13:25:00,11/02/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.819320486, -73.915383261)"
5175276,22:40:00,11/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.821455962, -73.866203487)"
5175346,20:49:00,11/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.669372829, -73.920393103)"
5178197,23:40:00,10/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.846278812, -73.89205787)"
5178983,02:13:00,10/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.697233391, -73.78431906)"
5180127,04:15:00,10/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.6784693, -73.782447304)"
5186465,19:27:00,09/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.852381909, -73.913515771)"
5187612,21:50:00,09/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.82294535, -73.95198314)"
5187695,01:50:00,10/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.812699137, -73.921619736)"
5196175,16:32:00,10/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.822262072, -73.940537398)"
5198523,23:30:00,10/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.841944334, -73.914248556)"
5202015,00:47:00,10/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.693415665, -73.848069308)"
5202509,21:00:00,10/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.833424263, -73.900010769)"
5202530,15:45:00,10/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.859192159, -73.900676971)"
5204733,19:25:00,10/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.842803108, -73.897076401)"
5206572,21:14:00,10/09/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.903468077, -73.844630036)"
5207939,16:34:00,10/08/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.838778865, -73.864701374)"
5208215,07:45:00,10/08/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.606351698, -73.941990184)"
5210304,21:27:00,10/06/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.798285226, -73.962673731)"
5211930,17:58:00,10/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.67278405, -73.866472894)"
5212583,00:07:00,10/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.68773221, -73.937491478)"
5214576,23:52:00,10/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.810524424, -73.938214246)"
5215011,12:54:00,10/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.840783858, -73.936252607)"
5215966,18:25:00,10/02/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.568827644, -74.121181494)"
5216406,04:15:00,10/02/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.876743654, -73.90622669)"
5217080,19:25:00,10/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.842803108, -73.897076401)"
5217461,09:40:00,10/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.650957959, -73.955865681)"
5218319,17:35:00,09/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.720450333, -73.97491448)"
5219954,09:00:00,09/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.638667594, -74.022463404)"
5220664,23:26:00,09/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.708227855, -73.912862387)"
5221381,07:24:00,09/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.693140904, -73.945859731)"
5222305,18:30:00,09/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.732876229, -73.860333942)"
5222338,00:42:00,09/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.657743089, -73.909136741)"
5222747,09:35:00,09/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.672585871, -73.873261458)"
5222923,00:37:00,09/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.662518015, -73.927011804)"
5223664,17:45:00,09/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.641068098, -73.962469806)"
5223837,14:23:00,09/26/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.820663494, -73.956385411)"
5226643,04:40:00,09/24/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.693702669, -73.780915483)"
5227745,13:50:00,09/23/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.819718657, -73.942389497)"
5230583,15:11:00,09/21/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.671168243, -73.909688025)"
5231699,20:56:00,09/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.855961786, -73.839795807)"
5232209,11:00:00,09/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.830798914, -73.826948796)"
5233064,22:17:00,09/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.686395734, -73.949095931)"
5240998,12:00:00,09/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.848887095, -73.916144462)"
5240999,23:53:00,09/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.672674098, -73.861689307)"
5244882,23:42:00,09/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.726529377, -73.734864538)"
5244910,22:12:00,09/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.675309538, -73.788052771)"
5249060,19:40:00,09/07/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.653674996, -73.96278707)"
5250320,22:23:00,09/06/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.673324484, -73.91539184)"
5251111,01:28:00,09/06/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.719840334, -73.962400198)"
5252434,04:14:00,09/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.663341242, -73.96017925)"
5252449,03:49:00,09/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.663133397, -73.962432161)"
5253803,01:00:00,09/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.640366106, -73.890520884)"
5254229,21:25:00,09/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.70284629, -73.812428901)"
5254358,18:23:00,09/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.832941761, -73.935432593)"
5254844,04:02:00,09/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.675646399, -73.927184904)"
5254845,04:02:00,09/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.675646399, -73.927184904)"
5255568,19:30:00,09/02/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.628089722, -73.946103435)"
5256808,22:27:00,09/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.674986972, -73.945849231)"
5257226,12:29:00,09/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.615912856, -73.920737805)"
5258103,21:15:00,08/31/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.710739715, -73.803872427)"
5261371,12:20:00,08/29/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.639163716, -73.994427347)"
5263081,03:40:00,08/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.673341037, -73.932083027)"
5263159,02:23:00,08/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.69726035, -73.977462042)"
5263174,02:11:00,08/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.643506043, -73.902615955)"
5271520,01:15:00,08/22/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.629597831, -73.942942693)"
5272938,01:33:00,08/21/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.595792272, -73.984064191)"
5273422,23:44:00,08/20/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.819778814, -73.936720733)"
5274983,18:07:00,08/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.689567811, -73.832478977)"
5275081,16:13:00,08/19/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.84711223, -73.91747681)"
5275385,21:20:00,08/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.836266064, -73.911328663)"
5279181,20:14:00,08/16/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.67459999, -73.930574822)"
5279252,22:24:00,08/16/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.659114761, -73.923216654)"
5282832,04:38:00,08/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.819596981, -73.918186548)"
5282959,01:59:00,08/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.689819067, -73.831612927)"
5282965,01:50:00,08/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.640790702, -73.932141379)"
5283814,13:45:00,08/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.67941151, -73.858592765)"
5283815,13:45:00,08/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.67941151, -73.858592765)"
5285491,00:51:00,08/12/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.690654842, -73.908042562)"
5286526,13:29:00,08/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.818407371, -73.887507503)"
5288346,00:31:00,08/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.674993193, -73.915234704)"
5289715,01:08:00,08/09/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.869301715, -73.889511247)"
5290340,23:43:00,08/08/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.805182009, -73.9186305)"
5292395,09:15:00,08/07/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.660436625, -73.939773355)"
5292644,01:30:00,08/07/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.674063439, -73.912535702)"
5295891,20:21:00,08/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.668403867, -73.869286157)"
5295930,19:50:00,08/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.623960368, -73.938282477)"
5296581,01:46:00,08/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.64173826, -74.075678037)"
5297067,22:18:00,08/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.649091472, -73.955776823)"
5297861,12:00:00,07/22/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.750294976, -73.822805246)"
5297923,02:05:00,08/03/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.836843178, -73.850809958)"
5298576,23:39:00,08/02/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.65381516, -73.853205037)"
5298814,17:40:00,08/02/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.842328579, -73.885739479)"
5299362,01:08:00,08/02/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.68469984, -73.924744826)"
5300067,19:15:00,08/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.736984449, -73.809998125)"
5302973,07:20:00,07/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.738838819, -73.926700862)"
5303200,01:20:00,07/30/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.681803475, -73.923789039)"
5306348,08:00:00,07/28/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.694566924, -73.943244108)"
5306350,23:40:00,07/27/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.764463103, -73.831774379)"
5307229,04:03:00,07/15/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.67013835, -73.908925194)"
